clave,nombre,estado,municipio,latitud,longitud,pga_g,lluvia_diseno_100a_mm,poblacion_30km,percentil_sismico,percentil_hidrologico,percentil_poblacional,indice_prioridad
VBRMX,"Valle de Bravo, Méx.",México,Valle de Bravo,19.2075,-100.18,0.303712100126789,44.12300938249773,259636,85.23809523809524,5.714285714285714,59.523809523809526,52.5
IDFQT,"San Ildefonso, Qro.",Querétaro,Amealco de Bonfil,20.198611,-99.9625,0.14106369999999907,44.22685919089239,370615,60.0,7.6190476190476195,70.95238095238095,52.38095238095238
SBYDR,"Santiago Bayacora, Dgo.",Durango,Durango,23.874444,-104.675833,0.01807920999971595,54.93697437014852,554206,13.333333333333334,36.904761904761905,79.52380952380952,52.32142857142857
TEPMC,"Tepuxtepec, Mich.",Michoacán de Ocampo,Contepec,20.000278,-100.229167,0.2559389916768845,44.22685919089239,262297,80.47619047619048,7.6190476190476195,60.476190476190474,52.26190476190476
CRNJL,"Corrinchis, Jal.",Jalisco,Mascota,20.479722,-104.780833,0.3223342993150428,115.59876207570096,25249,86.19047619047619,85.23809523809524,18.095238095238095,51.90476190476191
PNLGJ,"Peñuelitas, Gto.",Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,21.105,-100.878333,0.06632051928392815,51.45706610670513,375337,36.666666666666664,27.380952380952383,71.42857142857143,51.72619047619048
ECAGR,"Ing. Carlos Ramírez Ulloa, Gro.",Guerrero,General Heliodoro Castillo,17.947778,-99.995556,0.5693972000045324,60.83805872335394,45847,96.66666666666667,51.42857142857142,29.04761904761905,51.54761904761905
INFMC,"Infiernillo, Mich.",Michoacán de Ocampo,Arteaga,18.266667,-101.883333,0.6109432673388959,116.08876307996205,12490,98.57142857142858,85.71428571428571,10.952380952380953,51.547619047619044
PNDMX,"Ñadó, Méx.",México,Aculco,20.038611,-99.864444,0.17113159967933456,44.22685919089239,301793,68.0952380952381,7.6190476190476195,64.76190476190476,51.30952380952381
REDJL,"La Red, Jal.",Jalisco,Acatic,20.718889,-102.815278,0.10805660000206965,55.31574657893303,237648,52.85714285714286,39.04761904761905,56.666666666666664,51.30952380952381
GLNGJ,"La Golondrina, Gto.",Guanajuato,Pénjamo,20.439167,-101.7425,0.13070225567368085,49.07807566501949,280178,58.0952380952381,20.238095238095237,63.33333333333333,51.25
PAGDR,"Peña del Águila, Dgo.",Durango,Durango,24.203889,-104.656667,0.013082899999999996,54.93697437014852,556395,5.238095238095238,36.904761904761905,80.47619047619048,50.773809523809526
MABGJ,"Mariano Abasolo, Gto.",Guanajuato,Pénjamo,20.507222,-101.931111,0.11779064003499126,49.07807566501949,276911,55.23809523809524,20.238095238095237,62.857142857142854,50.29761904761905
AMEMC,"Aristeo Mercado, Mich.",Michoacán de Ocampo,Jiménez,19.926111,-101.661111,0.2054041259799284,49.618858998252875,209584,73.33333333333333,24.047619047619047,51.90476190476191,50.29761904761905
CPRNL,"José López Portillo, N.L.",Nuevo León,Linares,24.9375,-99.399722,0.04203846572311346,134.90249930792749,86090,30.476190476190478,90.47619047619048,39.04761904761905,49.761904761904766
CNTCL,"El Centenario, Coah.",Coahuila de Zaragoza,Jiménez,29.213611,-100.95,0.012393770058316012,109.40828472296121,225555,4.761904761904762,83.0952380952381,54.761904761904766,49.3452380952381
TRJCM,"Solidaridad, Jal.",Jalisco,Pihuamo,18.967222,-103.396667,0.5399456,105.63103997829683,12144,94.76190476190476,81.19047619047619,10.476190476190476,49.22619047619048
ESLJL,"El Salto, Jal.",Jalisco,Valle de Guadalupe,21.037222,-102.705,0.08590288525497829,61.05950950893119,188652,42.857142857142854,52.38095238095239,49.047619047619044,48.33333333333333
MOCMC,"Melchor Ocampo, Mich.",Michoacán de Ocampo,Angamacutiro,20.127222,-101.724444,0.1687473,49.618858998252875,202776,67.14285714285714,24.047619047619047,50.95238095238095,48.27380952380952
SLZTP,"Lic. Emilio Portes Gil, Tamps.",Tamaulipas,Xicoténcatl,22.943889,-98.791389,0.022383792374572366,134.12050427422466,121037,15.714285714285714,89.52380952380953,43.333333333333336,47.97619047619048
ALMSI,"Adolfo López Mateos, Sin.",Sinaloa,Badiraguato,25.101389,-107.388333,0.11724906993145105,156.446825534031,25971,54.761904761904766,98.09523809523809,19.047619047619047,47.73809523809524
VGRGR,"Vicente Guerrero, Gro.",Guerrero,Arcelia,18.382778,-100.265833,0.5375276068225976,45.86843468940366,95597,94.28571428571428,15.714285714285714,40.0,47.5
SA1JL,"La Sauceda, Jal.",Jalisco,Lagos de Moreno,21.359167,-101.835556,0.06022254,59.27417176085383,214278,34.76190476190476,48.80952380952381,52.38095238095239,47.083333333333336
EGLGR,"El Gallo, Gro.",Guerrero,Cutzamala de Pinzón,18.703056,-100.671111,0.4638066899734734,51.68485929381896,67076,91.9047619047619,28.095238095238095,33.80952380952381,46.904761904761905
SLTSI,"Ing. Aurelio Benassini Vizcaíno, Sin.",Sinaloa,Elota,24.121944,-106.695833,0.062134619999884684,211.18130208006514,36794,35.23809523809524,100.0,25.71428571428571,46.666666666666664
SRSJL,"Manuel M. Dieguez, Jal.",Jalisco,Amatitán,20.908889,-103.705556,0.10161420000000113,49.92505784219598,232655,49.523809523809526,25.238095238095237,55.714285714285715,46.54761904761905
CILAFLCMX,"Internacional La Amistad, Coah.",Coahuila de Zaragoza,Acuña,29.45,-101.06,0.01189,89.93691658136916,218182,4.285714285714286,73.80952380952381,53.333333333333336,46.19047619047619
HPNMX,"Huapango, Méx.",México,Timilpan,20.046389,-99.696944,0.13990200067539263,44.22685919089239,250087,59.04761904761905,7.6190476190476195,58.57142857142858,45.952380952380956
AOBSO,"Álvaro Obregón, Son.",Sonora,Cajeme,27.8225,-109.8925,0.11820530809539742,77.81415163116428,50996,55.714285714285715,65.95238095238095,30.952380952380953,45.89285714285714
FIMCH,"Francisco I. Madero, Chih.",Chihuahua,Rosales,28.166111,-105.628889,0.0661392,52.360475498324675,238470,36.19047619047619,32.857142857142854,57.14285714285714,45.83333333333333
RSRNR,"Reguladora San Rafael, Nay.",Nayarit,Tepic,21.8,-104.8,0.1282542,83.7709456464926,39567,57.14285714285714,70.23809523809523,26.666666666666668,45.17857142857142
PMNMX,"El Molino, Méx.",México,Aculco,20.124167,-99.739722,0.13827160011488754,44.22685919089239,234231,58.57142857142858,7.6190476190476195,56.19047619047619,44.64285714285714
MRGTP,"Marte Rodolfo Gómez, Tamps.",Tamaulipas,Camargo,26.204722,-98.925556,0.046089869752058775,128.5412267753856,42888,31.428571428571427,87.61904761904762,27.61904761904762,43.57142857142857
CRTJL,"El Cuarenta, Jal.",Jalisco,Lagos de Moreno,21.497778,-101.7375,0.048928474493094266,59.27417176085383,143560,32.857142857142854,48.80952380952381,46.19047619047619,43.51190476190476
AGMNR,"Aguamilpa Solidaridad, Nay.",Nayarit,Tepic,21.839167,-104.802222,0.12210449999997004,83.7709456464926,35131,56.19047619047619,70.23809523809523,23.809523809523807,43.51190476190476
JGRSI,"Juan Guerrero Alcocer, Sin.",Sinaloa,Culiacán,24.753611,-107.059444,0.09405676551816307,147.6722961721315,21559,46.666666666666664,96.42857142857143,15.238095238095239,43.392857142857146
PECAG,"Plutarco Elías Calles, Ags.",Aguascalientes,San José de Gracia,22.141111,-102.417222,0.022676910200301995,51.71587240536324,274819,17.142857142857142,30.238095238095237,62.38095238095238,43.035714285714285
PMHSI,"Miguel Hidalgo, Sin.",Sinaloa,El Fuerte,26.509722,-108.58,0.09608436999995688,89.69553031066957,36487,48.095238095238095,73.09523809523809,25.238095238095237,42.916666666666664
JLPSI,"José López Portillo, Sin.",Sinaloa,Cosalá,24.571667,-106.807222,0.06735704481160912,186.46633520380567,18069,37.142857142857146,99.52380952380952,13.80952380952381,41.07142857142857
JORSI,"Josefa Ortiz de Domínguez, Sin.",Sinaloa,El Fuerte,26.426944,-108.7025,0.09571483,89.69553031066957,32596,47.61904761904761,73.09523809523809,21.428571428571427,40.89285714285714
CHIZC,"El Chique, Zac.",Zacatecas,Tabasco,21.997222,-102.896111,0.03283619697902685,70.61722864295098,73489,26.666666666666668,60.952380952380956,36.19047619047619,40.0
ERCTP,"Estudiante Ramiro Caballero Dorantes, Tamps.",Tamaulipas,González,22.605,-98.691667,0.029898623636164745,135.03425033451046,30449,25.71428571428571,90.95238095238095,20.952380952380953,39.64285714285714
GDOSI,"Gustavo Díaz Ordaz, Sin.",Sinaloa,Sinaloa,25.856667,-107.911111,0.07762611,101.1271169920166,26343,40.0,79.28571428571428,19.523809523809526,39.58333333333333
LBLTP,"Derivadora Las Blancas, Tamps.",Tamaulipas,Mier,26.408889,-99.233611,0.034374929895617266,106.60850005006259,35519,27.142857142857142,82.14285714285714,24.285714285714285,39.46428571428571
ANVAG,"Cincuenta Aniversario, Ags.",Aguascalientes,San José de Gracia,22.188611,-102.464167,0.022629187659998756,51.71587240536324,229618,16.666666666666664,30.238095238095237,55.23809523809524,39.345238095238095
CUQJL,"Cuquío, Jal.",Jalisco,Cuquío,20.948056,-103.039444,0.08761115035852227,56.08213740428711,72285,43.80952380952381,42.61904761904762,35.23809523809524,39.22619047619048
ESTJL,"El Estribón, Jal.",Jalisco,Yahualica de González Gallo,21.185556,-102.900556,0.07562570320913599,56.08213740428711,74707,39.523809523809526,42.61904761904762,37.142857142857146,39.10714285714286
LBQCH,"La Boquilla, Chih.",Chihuahua,San Francisco de Conchos,27.544722,-105.414167,0.1430596,55.15270473805169,45650,61.42857142857143,37.61904761904762,28.57142857142857,39.04761904761905
CHYVC,"Paso de Piedras, Ver.",Veracruz de Ignacio de la Llave,Pánuco,21.7375,-98.155833,0.045600649965678204,139.6411574350284,21933,30.952380952380953,91.9047619047619,16.19047619047619,38.80952380952381
CILAAMSMX,"Internacional Falcón, Tamps.",Tamaulipas,Mier,26.56,-99.17,0.029347790000000002,106.60850005006259,34961,25.238095238095237,82.14285714285714,23.333333333333332,38.51190476190476
BTEZC,"Ramón López Velarde, Zac.",Zacatecas,Jerez,22.824167,-102.953333,0.01844222,66.26535746797767,104568,13.80952380952381,56.904761904761905,40.95238095238095,38.154761904761905
PMOZC,"Moraleños, Zac.",Zacatecas,Jalpa,21.711111,-102.903611,0.04813451999999999,55.40651868777279,90045,32.38095238095238,40.95238095238095,39.523809523809526,38.095238095238095
GBESI,"Ing. Guillermo Blake Águilar, Sin.",Sinaloa,Sinaloa,26.103611,-108.3275,0.088765660251483,101.1271169920166,14328,45.23809523809524,79.28571428571428,11.904761904761903,37.08333333333333
